cityid,sb,gbn,gbn+,lbn,fbn
nis_rs,1,1,1,0,0
northampton_gb,1,0,0,1,0
nottingham_gb,1,0,1,1,1
novisad_rs,1,0,1,0,1
nuremberg_de,1,0,0,1,1
nyiregyhaza_hu,1,0,1,1,0
nimes_fr,1,0,1,1,0
oberhausen_de,1,0,0,1,1
odense_dk,1,0,1,1,1
odessa_ua,1,1,1,0,0
offenbachammain_de,1,0,0,1,1
oldenburg_de,1,0,0,1,1
olomouc_cz,1,0,1,1,0
olsztyn_pl,1,0,0,1,1
opole_pl,1,0,1,1,1
orleans_fr,1,0,0,1,1
orsha_by,1,1,0,0,0
osijek_hr,1,0,0,1,1
oslo_no,1,0,1,1,0
osnabruck_de,1,0,0,1,1
ostrava_cz,1,0,1,1,0
oulu_fi,1,0,1,1,1
paderborn_de,1,0,0,1,1
padua_it,1,0,1,1,0
pamplonairuna_es,1,0,0,1,1
paris_fr,1,0,0,1,1
parla_es,1,0,1,1,0
pavlograd_ua,1,1,0,0,0
peristeri_gr,1,1,1,0,0
perpignan_fr,1,0,1,1,0
pescara_it,1,0,1,1,1
pforzheim_de,1,0,1,1,0
pilsen_cz,1,0,0,1,1
pinsk_by,1,0,1,1,0
piraeus_gr,1,1,1,0,0
plock_pl,1,0,1,1,1
plovdiv_bg,1,0,1,0,1
plymouth_gb,1,0,1,1,1
podgorica_me,1,1,1,0,0
poltava_ua,1,1,0,0,0
porto_pt,1,0,1,1,0
portsmouth_gb,1,0,1,1,1
potsdam_de,1,0,0,1,1
poznan_pl,1,0,0,1,1
prague_cz,1,0,1,1,0
prato_it,1,0,1,1,0
pristina_rs,1,1,1,0,0
pecs_hu,1,0,1,1,0
radom_pl,1,0,1,1,1
reading_gb,1,0,1,1,1
recklinghausen_de,1,0,0,1,1
regensburg_de,1,0,0,1,1
reims_fr,1,0,1,1,1
remscheid_de,1,0,1,1,0
rennes_fr,1,0,0,1,1
reutlingen_de,1,0,0,1,0
reykjavik_is,1,0,0,1,1
riga_lv,1,0,0,1,1
rijeka_hr,1,1,0,0,0
rivne_ua,1,1,1,0,0
rome_it,1,0,1,1,0
rostock_de,1,0,0,1,1
rotterdam_nl,1,0,0,0,1
rouen_fr,1,0,1,1,0
rudaslaska_pl,1,0,1,1,1
ruse_bg,1,0,1,1,0
rybnik_pl,1,0,0,1,1
rzeszow_pl,1,0,1,1,1
shertogenbosch_nl,1,0,0,1,1
saarbrucken_de,1,0,1,1,0
saintdenis_fr,1,0,0,1,1
saintetienne_fr,1,0,1,1,0
salamanca_es,1,0,0,1,1
salzburg_at,1,0,0,1,1
salzgitter_de,1,0,0,1,1
santacolomadegramenet_es,1,0,0,1,1
sarajevo_ba,1,1,1,0,0
schaerbeek_be,1,0,1,1,0
seville_es,1,0,0,0,1
sheffield_gb,1,0,1,1,0
siegen_de,1,0,1,1,0
skopje_mk,1,0,1,1,0
slovyansk_ua,1,1,0,0,0
sofia_bg,1,0,1,1,0
soligorsk_by,1,0,1,0,0
solingen_de,1,0,1,1,0
sosnowiec_pl,1,0,1,1,1
southampton_gb,1,0,1,1,0
split_hr,1,1,1,0,0
stockholm_se,1,0,0,1,1
stokeontrent_gb,1,0,1,1,1
strasbourg_fr,1,0,0,1,1
stuttgart_de,1,0,1,1,0
sumy_ua,1,1,1,0,0
szczecin_pl,1,0,0,1,1
szeged_hu,1,0,1,1,1
tallinn_ee,1,0,0,1,1
tampere_fi,1,0,1,0,1
tarnow_pl,1,0,1,1,1
ternopil_ua,1,1,1,0,0
thehague_nl,1,0,0,0,1
thessaloniki_gr,1,1,1,0,0
tilburg_nl,1,0,0,1,1
tirana_al,1,0,1,1,0
torrejondeardoz_es,1,0,1,1,1
torun_pl,1,0,0,1,1
toulon_fr,1,0,1,1,0
toulouse_fr,1,0,0,1,1
tours_fr,1,0,0,1,1
trier_de,1,0,0,1,1
turin_it,1,0,1,1,1
turku_fi,1,0,1,0,1
tychy_pl,1,0,1,0,1
ulm_de,1,0,0,1,1
umea_se,1,0,0,0,1
utrecht_nl,1,0,0,0,1
uzhhorod_ua,1,1,1,0,0
valencia_es,1,0,0,0,1
valladolid_es,1,0,0,1,1
vantaa_fi,1,0,0,0,1
varna_bg,1,0,1,1,0
vejle_dk,1,0,0,1,1
venice_it,1,0,0,1,1
venlo_nl,1,0,0,1,1
vienna_at,1,0,0,1,1
vigo_es,1,0,1,1,0
villeurbanne_fr,1,0,0,1,0
vilnius_lt,1,0,1,1,0
vinnytsia_ua,1,0,1,1,0
vitebsk_by,1,1,0,0,0
walbrzych_pl,1,0,1,1,1
warsaw_pl,1,0,0,1,1
westland_nl,1,0,0,1,1
wiesbaden_de,1,0,1,1,0
winterthur_ch,1,0,0,1,1
wloclawek_pl,1,0,0,1,1
wolfsburg_de,1,0,0,1,1
wolverhampton_gb,1,0,1,1,1
wroclaw_pl,1,0,0,1,1
wuppertal_de,1,0,1,1,0
wurzburg_de,1,0,0,1,1
zaanstad_nl,1,0,0,1,1
zabrze_pl,1,0,1,1,1
zagreb_hr,1,0,1,1,0
zaporizhzhia_ua,1,1,1,0,0
zhytomyr_ua,1,0,0,1,0
zielonagora_pl,1,0,1,1,1
zoetermeer_nl,1,0,0,0,1
zurich_ch,1,0,1,1,0
zwolle_nl,1,0,0,1,1
siauliai_lt,1,0,0,1,1
