cityid;name_en;country_en;nominatim_query;country_code;population;center_lat;center_lon
mannheim_de;Mannheim;Germany;Mannheim;DE;309370;49.50011;8.51157
marbella_es;Marbella;Spain;Marbella;ES;149032;36.49988;-4.87251
mariupol_ua;Mariupol;Ukraine;Mariupol;UA;422286;47.12422;37.58917
marseille_fr;Marseille;France;Marseille;FR;861635;43.30034;5.40369
melitopol_ua;Melitopol;Ukraine;Melitopol;UA;148698;46.84872;35.37225
messina_it;Messina;Italy;Messina;IT;221788;38.17808;15.54724
metz_fr;Metz;France;Metz;FR;117492;49.10783;6.19591
milan_it;Milan;Italy;Milan;IT;1362256;45.46587;9.15932
minsk_by;Minsk;Belarus;Minsk;BY;2020133;53.88581;27.59485
miskolc_hu;Miskolc;Hungary;Miskolc;HU;151798;48.09029;20.71329
moers_de;Moers;Germany;Moers;DE;103725;51.4585;6.61858
mogilev_by;Mogilev;Belarus;Mogilev;BY;357184;53.90173;30.3482
montpellier_fr;Montpellier;France;Montpellier;FR;277639;43.61124;3.87245
montreuil_fr;Montreuil;France;Montreuil, Ile-de-France;FR;106691;48.86368;2.44766
monza_it;Monza;Italy;Monza, Monza;IT;122253;45.59261;9.27843
mozir_by;Mozir;Belarus;Mozir;BY;105690;52.04987;29.2444
mulhouse_fr;Mulhouse;France;Mulhouse;FR;110370;47.75162;7.3264
munich_de;Munich;Germany;Munich;DE;1471508;48.15391;11.54144
mykolaiv_ua;Mykolaiv;Ukraine;Mykolaiv;UA;465516;46.9372;31.99491
monchengladbach_de;Mönchengladbach;Germany;Mönchengladbach;DE;261454;51.16557;6.41461
mulheimanderruhr_de;Mülheim An Der Ruhr;Germany;Mülheim An Der Ruhr;DE;170880;51.41436;6.88495
munster_de;Münster;Germany;Münster;DE;314319;51.94867;7.62183
namur_be;Namur;Belgium;Namur;BE;110175;50.45961;4.85239
nancy_fr;Nancy;France;Nancy;FR;105162;48.68782;6.17314
nantes_fr;Nantes;France;Nantes;FR;303382;47.23759;-1.54999
naples_it;Naples;Italy;Naples;IT;921618;40.85383;14.24301
neuss_de;Neuss;Germany;Neuss;DE;153796;51.17839;6.70986
newcastleupontyne_gb;Newcastle-Upon-Tyne;United Kingdom;Newcastle-Upon-Tyne;GB;268064;55.01071;-1.65467
nice_fr;Nice;France;Nice;FR;342522;43.70477;7.24599
nijmegen_nl;Nijmegen;Netherlands;Nijmegen;NL;170681;51.82447;5.83132
nikopol_ua;Nikopol;Ukraine;Nikopol;UA;107214;47.5755;34.37603
nis_rs;Nis;Serbia;Nis, Serbia;RS;183202;43.31988;21.89747
northampton_gb;Northampton;United Kingdom;Northampton;GB;215173;52.23372;-0.88374
nottingham_gb;Nottingham;United Kingdom;Nottingham;GB;289301;52.95434;-1.16817
novisad_rs;Novi Sad;Serbia;Novi Sad;RS;298469;45.27065;19.83961
nuremberg_de;Nuremberg;Germany;Nuremberg;DE;518365;49.43922;11.0991
nyiregyhaza_hu;Nyiregyhaza;Hungary;Nyiregyhaza;HU;116684;47.94572;21.72558
nimes_fr;Nîmes;France;Nîmes, France;FR;150672;43.83574;4.35861
