cityid,cov_ratio,l_ratio,gcc1,gcc2,gcc3
lemans_fr,0.61,0.13,0.12,0.07,0.06
leeuwarden_nl,0.82,0.40,0.70,0.05,0.01
leicester_gb,0.71,0.17,0.24,0.11,0.11
leiden_nl,0.99,0.41,0.64,0.08,0.07
leipzig_de,0.81,0.29,0.09,0.08,0.04
leverkusen_de,0.85,0.34,0.41,0.06,0.05
leon_es,0.67,0.19,0.40,0.07,0.05
liberec_cz,0.29,0.06,0.13,0.09,0.09
lida_by,0.04,0.01,0.32,0.31,0.26
lille_fr,0.82,0.20,0.16,0.15,0.05
limoges_fr,0.40,0.07,0.15,0.11,0.08
linz_at,0.69,0.27,0.41,0.12,0.07
lisbon_pt,0.85,0.13,0.24,0.11,0.10
liverpool_gb,0.48,0.05,0.18,0.06,0.05
livorno_it,1.02,0.40,0.19,0.06,0.06
liege_be,0.69,0.24,0.40,0.04,0.04
ljubljana_si,0.41,0.22,0.47,0.13,0.07
lodz_pl,0.52,0.23,0.55,0.04,0.03
london_gb,0.58,0.10,0.05,0.04,0.02
lublin_pl,0.64,0.25,0.50,0.08,0.03
ludwigshafenamrhein_de,0.86,0.35,0.24,0.09,0.06
luhansk_ua,0.07,0.02,0.18,0.15,0.13
luton_gb,0.52,0.08,0.13,0.10,0.10
lutsk_ua,0.30,0.05,0.07,0.06,0.06
luxembourg_lu,0.88,0.32,0.22,0.11,0.09
lviv_ua,0.70,0.19,0.14,0.07,0.05
lyon_fr,0.90,0.25,0.35,0.09,0.09
lubeck_de,0.83,0.50,0.57,0.04,0.03
maastricht_nl,0.87,0.33,0.43,0.08,0.02
madrid_es,0.66,0.10,0.09,0.08,0.07
magdeburg_de,0.85,0.52,0.70,0.02,0.01
mainz_de,0.81,0.37,0.09,0.04,0.04
makijivka_ua,0.04,0.00,0.20,0.14,0.13
malmo_se,0.94,0.55,0.93,0.01,0.01
manchester_gb,0.69,0.12,0.08,0.06,0.05
mannheim_de,0.85,0.37,0.46,0.03,0.03
marbella_es,0.26,0.05,0.11,0.08,0.06
mariupol_ua,0.12,0.01,0.13,0.09,0.08
marseille_fr,0.49,0.09,0.08,0.07,0.06
melitopol_ua,0.23,0.06,0.30,0.24,0.09
messina_it,0.07,0.01,0.46,0.28,0.13
metz_fr,0.76,0.24,0.13,0.06,0.06
milan_it,0.74,0.16,0.05,0.04,0.04
minsk_by,0.31,0.09,0.08,0.04,0.02
miskolc_hu,0.17,0.04,0.18,0.14,0.08
moers_de,0.76,0.40,0.64,0.04,0.03
mogilev_by,0.17,0.05,0.14,0.12,0.08
montpellier_fr,0.77,0.22,0.09,0.07,0.07
montreuil_fr,0.81,0.25,0.18,0.17,0.07
monza_it,0.97,0.30,0.19,0.11,0.08
mozir_by,0.21,0.04,0.30,0.07,0.06
mulhouse_fr,0.76,0.18,0.13,0.11,0.09
munich_de,0.92,0.49,0.82,0.01,0.00
mykolaiv_ua,0.05,0.01,0.10,0.10,0.09
monchengladbach_de,0.71,0.32,0.21,0.14,0.11
mulheimanderruhr_de,0.73,0.28,0.35,0.10,0.03
munster_de,0.68,0.46,0.71,0.01,0.01
namur_be,0.35,0.13,0.26,0.06,0.05
nancy_fr,0.83,0.25,0.13,0.10,0.07
nantes_fr,0.90,0.27,0.20,0.04,0.04
naples_it,0.17,0.02,0.16,0.09,0.09
neuss_de,0.83,0.45,0.28,0.11,0.11
newcastleupontyne_gb,0.56,0.13,0.28,0.16,0.08
nice_fr,0.38,0.08,0.64,0.07,0.05
nijmegen_nl,1.05,0.40,0.66,0.08,0.03
nikopol_ua,0.10,0.01,0.35,0.17,0.14
nis_rs,0.31,0.04,0.31,0.18,0.14
northampton_gb,0.80,0.23,0.18,0.14,0.05
nottingham_gb,0.73,0.17,0.46,0.09,0.05
novisad_rs,0.55,0.24,0.78,0.06,0.04
nuremberg_de,0.83,0.34,0.34,0.16,0.07
nyiregyhaza_hu,0.26,0.15,0.37,0.17,0.05
nimes_fr,0.22,0.06,0.16,0.13,0.11
oberhausen_de,0.93,0.39,0.11,0.11,0.08
odense_dk,0.50,0.32,0.65,0.04,0.04
odessa_ua,0.20,0.03,0.20,0.14,0.08
offenbachammain_de,0.83,0.27,0.17,0.09,0.06
oldenburg_de,0.84,0.48,0.59,0.02,0.01
olomouc_cz,0.58,0.20,0.18,0.07,0.06
olsztyn_pl,0.68,0.33,0.24,0.23,0.06
opole_pl,0.51,0.24,0.32,0.08,0.08
orleans_fr,1.09,0.27,0.20,0.08,0.06
orsha_by,0.06,0.01,0.51,0.31,0.18
osijek_hr,0.65,0.22,0.42,0.09,0.07
oslo_no,0.50,0.23,0.07,0.04,0.04
osnabruck_de,0.69,0.32,0.21,0.04,0.03
ostrava_cz,0.56,0.17,0.08,0.07,0.04
oulu_fi,0.32,0.43,0.69,0.06,0.04
