name_en;country_en;nominatim_query;country_code;population
Le Havre;France;Le Havre;FR;172366.0
Le Mans;France;Le Mans;FR;143325.0
Leeuwarden;Netherlands;Leeuwarden;NL;107691.0
Leicester;United Kingdom;Leicester City;GB;443760.0
Leiden;Netherlands;Leiden;NL;121562.0
Leipzig;Germany;Leipzig;DE;587857.0
Leverkusen;Germany;Leverkusen;DE;163838.0
León;Spain;León 16, Spain;ES;122398.0
Liberec;Czech Republic;Liberec;CZ;104340.0
Lida;Belarus;Lida, Belarus;BY;102794.0
Lille;France;Lille;FR;232741.0
Limoges;France;Limoges;FR;133627.0
Linz;Austria;Linz;AT;205726.0
Lisbon;Portugal;Lisbon;PT;545142.0
Liverpool;United Kingdom;Liverpool;GB;552267.0
Livorno;Italy;Livorno, Livorno;IT;154927.0
Liège;Belgium;Liège;BE;195965.0
Ljubljana;Slovenia;Ljubljana;SI;285604.0
Lodz;Poland;Lodz;PL;677864.0
London;United Kingdom;London;GB;8135667.0
Lublin;Poland;Lublin, Lublin Voivodeship;PL;341591.0
Ludwigshafen Am Rhein;Germany;Ludwigshafen Am Rhein;DE;171061.0
Luhansk;Ukraine;Luhansk, Luhansk;UA;394202.0
Luton;United Kingdom;Luton;GB;211228.0
Luts'K;Ukraine;Lutsk;UA;212903.0
Luxembourg;Luxembourg;Luxembourg, Luxembourg;LU;128494.0
Lviv;Ukraine;Lviv;UA;710606.0
Lyon;France;Lyon;FR;513275.0
Lübeck;Germany;Lübeck;DE;217198.0
Maastricht;Netherlands;Maastricht;NL;122397.0
Madrid;Spain;Madrid;ES;3277451.0
Magdeburg;Germany;Magdeburg;DE;238697.0
Mainz;Germany;Mainz;DE;217118.0
Makijivka;Ukraine;Makijivka;UA;337277.0
Malmo;Sweden;Malmo;SE;278522.0
Manchester;United Kingdom;Manchester;GB;510746.0
Mannheim;Germany;Mannheim;DE;309370.0
Marbella;Spain;Marbella;ES;149032.0
Mariupol;Ukraine;Mariupol;UA;422286.0
Marseille;France;Marseille;FR;861635.0
Melitopol;Ukraine;Melitopol;UA;148698.0
Messina;Italy;Messina;IT;221788.0
Metz;France;Metz;FR;117492.0
Milan;Italy;Milan;IT;1362256.0
Minsk;Belarus;Minsk;BY;2020133.0
Miskolc;Hungary;Miskolc;HU;151798.0
Moers;Germany;Moers;DE;103725.0
Mogilev;Belarus;Mogilev;BY;357184.0
Montpellier;France;Montpellier;FR;277639.0
Montreuil;France;Montreuil, Ile-de-France;FR;106691.0
Monza;Italy;Monza, Monza;IT;122253.0
Mozir;Belarus;Mozir;BY;105690.0
Mulhouse;France;Mulhouse;FR;110370.0
Munich;Germany;Munich;DE;1471508.0
Mykolaiv;Ukraine;Mykolaiv;UA;465516.0
Mönchengladbach;Germany;Mönchengladbach;DE;261454.0
Mülheim An Der Ruhr;Germany;Mülheim An Der Ruhr;DE;170880.0
Münster;Germany;Münster;DE;314319.0
Namur;Belgium;Namur;BE;110175.0
Nancy;France;Nancy;FR;105162.0
Nantes;France;Nantes;FR;303382.0
Naples;Italy;Naples;IT;921618.0
Neuss;Germany;Neuss;DE;153796.0
Newcastle-Upon-Tyne;United Kingdom;Newcastle-Upon-Tyne;GB;268064.0
Nice;France;Nice;FR;342522.0
Nijmegen;Netherlands;Nijmegen;NL;170681.0
Nikopol;Ukraine;Nikopol;UA;107214.0
Nis;Serbia;Nis, Serbia;RS;183202.0
Northampton;United Kingdom;Northampton;GB;215173.0
Nottingham;United Kingdom;Nottingham;GB;289301.0
Novi Sad;Serbia;Novi Sad;RS;298469.0
Nuremberg;Germany;Nuremberg;DE;518365.0
Nyiregyhaza;Hungary;Nyiregyhaza;HU;116684.0
Nîmes;France;Nîmes, France;FR;150672.0
Oberhausen;Germany;Oberhausen;DE;210829.0
Odense;Denmark;Odense Municipality;DK;204795.0
Odessa;Ukraine;Odessa;UA;992874.0
Offenbach Am Main;Germany;Offenbach Am Main;DE;128744.0
Oldenburg;Germany;Oldenburg;DE;168210.0
Olomouc;Czech Republic;Olomouc;CZ;106063.0
Olsztyn;Poland;Olsztyn;PL;173624.0
Opole;Poland;Opole, Opole Voivodeship;PL;127198.0
Orléans;France;Orléans;FR;114644.0
Orsha;Belarus;Orsha;BY;107645.0
Osijek;Croatia;Osijek;HR;108048.0
Oslo;Norway;Oslo;NO;681067.0
Osnabrück;Germany;Osnabrück;DE;164748.0
Ostrava;Czech Republic;Ostrava;CZ;282450.0
Oulu;Finland;Oulu;FI;207327.0
Paderborn;Germany;Paderborn;DE;150580.0
Padua;Italy;Padua, Padua;IT;208191.0
Pamplona/Iruña;Spain;Pamplona/Iruña;ES;203596.0
Paris;France;Paris;FR;2206488.0
Parla;Spain;Parla;ES;130550.0
Pavlograd;Ukraine;Pavlograd;UA;102373.0
Peristeri;Greece;Peristeri;GR;139981.0
Perpignan;France;Perpignan;FR;121934.0
Pescara;Italy;Pescara, Pescara;IT;118879.0
Pforzheim;Germany;Pforzheim;DE;125542.0
Pilsen;Czech Republic;Pilsen;CZ;174007.0
Pinsk;Belarus;Pinsk;BY;126289.0
Piraeus;Greece;Πειραιάς;GR;163688.0
Plock;Poland;Plock;PL;117771.0
Plovdiv;Bulgaria;Plovdiv, Plovdiv;BG;342048.0
Plymouth;United Kingdom;Plymouth;GB;234982.0
Podgorica;Montenegro;Podgorica;ME;185937.0
