name_en,country_en,nominatim_query,name,alpha-2,population
Göttingen,Germany,Göttingen,Göttingen,DE,119801
Gütersloh,Germany,Gütersloh,Gütersloh,DE,100194
Haarlem,Netherlands,Haarlem,Haarlem,NL,156645
Haarlemmermeer,Netherlands,Haarlemmermeer,Haarlemmermeer,NL,144152
Hagen,Germany,Hagen,Hagen,DE,188814
Halle,Germany,Halle,Halle,DE,239257
Hamburg,Germany,Hamburg,Hamburg,DE,1841179
Hamm,Germany,Hamm,Hamm,DE,179111
Hanover,Germany,Hanover,Hannover,DE,538068
Heidelberg,Germany,Heidelberg,Heidelberg,DE,160355
Heilbronn,Germany,Heilbronn,Heilbronn,DE,125960
Helsingborg,Sweden,Helsingborg,Helsingborg,SE,124187
Heraklion,Greece,Heraklion,Iraclion,GR,140730
Herne,Germany,Herne,Herne,DE,156374
Hildesheim,Germany,Hildesheim,Hildesheim,DE,101990
Horlivka,Ukraine,Horlivka,Gorlivka,UA,237640
Huelva,Spain,Huelva,Huelva,ES,142668
Ingolstadt,Germany,Ingolstadt,Ingolstadt,DE,136981
Innsbruck,Austria,Innsbruck,Innsbruck,AT,132110
Ivano-Frankivsk,Ukraine,Ivano-Frankivsk,Ivano-Frankivsk,UA,235343
Jaén,Spain,Jaén,Jaén,ES,111915
Jena,Germany,Jena,Jena,DE,111407
Jerez De La Frontera,Spain,Jerez De La Frontera,Jerez De La Frontera,ES,213616
Jyvaskyla,Finland,Jyvaskyla,Jyvaskyla,FI,143420
Jönköping,Sweden,Jönköping,Jönköping,SE,122951
Kamenets Podolsky,Ukraine,Kamenets Podolsky,Kamenets Podolsky,UA,226295
Kamyanske,Ukraine,Kamyanske,Kamyanske,UA,226295
Karlsruhe,Germany,Karlsruhe,Karlsruhe,DE,313092
Kassel,Germany,Kassel,Kassel,DE,201585
Katowice,Poland,Katowice,Katowice,PL,296468
Kaunas,Lithuania,Kaunas,Kaunas,LT,298753
Kecskemét,Hungary,Kecskemét,Kecskemét,HU,110012
Kharkiv,Ukraine,Kharkiv,Kharkiv,UA,1401558
Kherson,Ukraine,Kherson,Kherson,UA,275529
Khmelnitsky,Ukraine,Khmelnitsky,Khmelnitsky,UA,271618
Kiel,Germany,Kiel,Kiel,DE,247548
Kielce,Poland,Kielce,Kielce,PL,192650
Kingston-Upon-Hull,United Kingdom,Kingston-Upon-Hull,Kingston-Upon-Hull,GB,284321
Klagenfurt,Austria,Klagenfurt,Klagenfurt,AT,100817
Klaipeda,Lithuania,Klaipeda,Klaipeda,LT,152008
Koblenz,Germany,Koblenz,Koblenz,DE,114024
Kosice,Slovakia,Kosice,Kosice,SK,238676
Koszalin,Poland,Koszalin,Koszalin,PL,105714
Kragujevac,Serbia,Kragujevac,Kragujevac,RS,147786
Krakow,Poland,Krakow,Kraków,PL,777520
Kramatorsk,Ukraine,Kramatorsk,Kramatorsk,UA,146693
Krefeld,Germany,Krefeld,Krefeld,DE,227020
Kremenchuk,Ukraine,Kremenchuk,Krementchug,UA,214291
Kropyvnytskyi,Ukraine,Kropyvnytskyi,Kropyvnytskyi,UA,216535
Kryvyi Rih,Ukraine,Kryvyi Rih,Krivoy Rog,UA,602390
Kuopio,Finland,Kuopio,Kuopio,FI,120210
L'Hospitalet De Llobregat,Spain,L'Hospitalet De Llobregat,L'Hospitalet De Llobregat,ES,265003
Lahti,Finland,Lahti,Lahti,FI,119984
Larissa,Greece,Larissa,Larissa,GR,144651
Las Palmas De Gran Canaria,Spain,Las Palmas De Gran Canaria,Las Palmas De Gran Canaria,ES,380667
Latina,Italy,Latina,Latina,IT,127711
Lausanne,Switzerland,Lausanne,Lausanne,CH,140619
Le Havre,France,Le Havre,Le Havre,FR,172366
Le Mans,France,Le Mans,Le Mans,FR,143325
Leeds,United Kingdom,Leeds,Leeds,GB,474632
Leeuwarden,Netherlands,Leeuwarden,Leeuwarden,NL,107691
Leganés,Spain,Leganés,Leganés,ES,188687
Leicester,United Kingdom,Leicester,Leicester,GB,443760
Leiden,Netherlands,Leiden,Leiden,NL,121562
Leipzig,Germany,Leipzig,Leipzig,DE,587857
Leverkusen,Germany,Leverkusen,Leverkusen,DE,163838
León,Spain,León,León,ES,122398
Liberec,Czech Republic,Liberec,Liberec,CZ,104340
Lida,Belarus,Lida,Lida,BY,102794
Lille,France,Lille,Lille,FR,232741
Limoges,France,Limoges,Limoges,FR,133627
Linköping,Sweden,Linköping,Linköping,SE,139473
Linz,Austria,Linz,Linz,AT,205726
Liverpool,United Kingdom,Liverpool,Liverpool,GB,552267
Livorno,Italy,Livorno,Livorno,IT,154927
Liège,Belgium,Liège,Liège,BE,195965
Lleida,Spain,Lleida,Lleida,ES,138933
Lodz,Poland,Lodz,Lódz,PL,677864
Logroño,Spain,Logroño,Logroño,ES,150596
Lublin,Poland,Lublin,Lublin,PL,341591
Ludwigshafen Am Rhein,Germany,Ludwigshafen Am Rhein,Ludwigshafen Am Rhein,DE,171061
Luhansk,Ukraine,Luhansk,Lugansk,UA,394202
Luton,United Kingdom,Luton,Luton,GB,211228
Luts'K,Ukraine,Luts'K,Luts'K,UA,212903
Lviv,Ukraine,Lviv,Lviv,UA,710606
Lyon,France,Lyon,Lyon,FR,513275
Lübeck,Germany,Lübeck,Lübeck,DE,217198
Maastricht,Netherlands,Maastricht,Maastricht,NL,122397
Magdeburg,Germany,Magdeburg,Magdeburg,DE,238697
Mainz,Germany,Mainz,Mainz,DE,217118
Makijivka,Ukraine,Makijivka,Makijivka,UA,337277
Malmo,Sweden,Malmo,Malmö,SE,278522
Manchester,United Kingdom,Manchester,Manchester,GB,510746
Mannheim,Germany,Mannheim,Mannheim,DE,309370
Marbella,Spain,Marbella,Marbella,ES,149032
Mariupol,Ukraine,Mariupol,Mariupol,UA,422286
Marseille,France,Marseille,Marseille,FR,861635
Mataró,Spain,Mataró,Mataró,ES,129749
Melitopol,Ukraine,Melitopol,Melitopol,UA,148698
Messina,Italy,Messina,Messina,IT,221788
Metz,France,Metz,Metz,FR,117492
Milan,Italy,Milan,Milano,IT,1362256
Miskolc,Hungary,Miskolc,Miskolc,HU,151798
Modena,Italy,Modena,Modena,IT,185693
Moers,Germany,Moers,Moers,DE,103725
Mogilev,Belarus,Mogilev,Mogilev,BY,357184
Montpellier,France,Montpellier,Montpellier,FR,277639
Montreuil,France,Montreuil,Montreuil,FR,106691
Monza,Italy,Monza,Monza,IT,122253
Mozir,Belarus,Mozir,Mozir,BY,105690
Mulhouse,France,Mulhouse,Mulhouse,FR,110370
Munich,Germany,Munich,München,DE,1471508
Murcia,Spain,Murcia,Murcia,ES,459778
Mykolaiv,Ukraine,Mykolaiv,Nikolaev,UA,465516
Málaga,Spain,Málaga,Málaga,ES,578063
Móstoles,Spain,Móstoles,Móstoles,ES,208632
Mönchengladbach,Germany,Mönchengladbach,Mönchengladbach,DE,261454
Mülheim An Der Ruhr,Germany,Mülheim An Der Ruhr,Mülheim An Der Ruhr,DE,170880
Münster,Germany,Münster,Münster,DE,314319
Namur,Belgium,Namur,Namur,BE,110175
Nancy,France,Nancy,Nancy,FR,105162
Nantes,France,Nantes,Nantes,FR,303382
Naples,Italy,Naples,Napoli,IT,921618
Neuss,Germany,Neuss,Neuss,DE,153796
Newcastle-Upon-Tyne,United Kingdom,Newcastle-Upon-Tyne,Newcastle-Upon-Tyne,GB,268064
Nice,France,Nice,Nice,FR,342522
Nijmegen,Netherlands,Nijmegen,Nijmegen,NL,170681
Nikopol,Ukraine,Nikopol,Nikopol,UA,107214
Nis,Serbia,Nis,Niš,RS,183202
Norrköping,Sweden,Norrköping,Norrköping,SE,126071
Northampton,United Kingdom,Northampton,Northampton,GB,215173
Nottingham,United Kingdom,Nottingham,Nottingham,GB,289301
Novara,Italy,Novara,Novara,IT,101796
Novi Sad,Serbia,Novi Sad,Novi Sad,RS,298469
Nuremberg,Germany,Nuremberg,Nürnberg,DE,518365
Nyiregyhaza,Hungary,Nyiregyhaza,Nyiregyhaza,HU,116684
Nîmes,France,Nîmes,Nîmes,FR,150672
Oberhausen,Germany,Oberhausen,Oberhausen,DE,210829
