city,city_eng
Angarsk,Angarsk
Arkhangelsk,Arkhangelsk
Armavir,Armavir
Artem,Artem
Arzamas,Arzamas
Astrakhan,Astrakhan
Balakovo,Balakovo
Balashikha,Balashikha
Barnaul,Barnaul
Bataisk,Bataisk
Belgorod,Belgorod
Belovo,Belovo
Berezniki,Berezniki
Biisk,Biisk
Blagoveshchensk,Blagoveshchensk
Bor,Bor
Bratsk,Bratsk
Bryansk,Bryansk
Cheboksary,Cheboksary
Chelyabinsk,Chelyabinsk
Cherepovets,Cherepovets
Cherkessk,Cherkessk
Chita,Chita
Derbent,Derbent
Dimitrovgrad,Dimitrovgrad
Domodedovo,Domodedovo
Dzerzhinsk,Dzerzhinsk
Ekaterinburg,Ekaterinburg
Elektrostal,Elektrostal
Elets,Elets
Elista,Elista
Engels,Engels
Esentuky,Esentuky
Groznyi,Groznyi
Hasaviurt,Hasaviurt
Irkutsk,Irkutsk
Ivanovo,Ivanovo
Izhevsk,Izhevsk
Kaliningrad,Kaliningrad
Kaluga,Kaluga
Kamensk-Uralsky,Kamensk-Uralsky
Kamyshin,Kamyshin
Kaspiysk,Kaspiysk
Kazan,Kazan
Kemerovo,Kemerovo
Khabarovsk,Khabarovsk
Khimki,Khimki
Kirov,Kirov
Kiselevsk,Kiselevsk
Kislovodsk,Kislovodsk
Kolomna,Kolomna
Komsomolsk-Na-Amure,Komsomolsk-Na-Amure
Kopeysk,Kopeysk
Korolev,Korolev
Kostroma,Kostroma
Kovrov,Kovrov
Krasnodar,Krasnodar
Krasnogorsk,Krasnogorsk
Krasnoyarsk,Krasnoyarsk
Kurgan,Kurgan
Kursk,Kursk
Kyzyl,Kyzyl
Leninsk-Kuznetsky,Leninsk-Kuznetsky
Lipetsk,Lipetsk
Lyubertsy,Lyubertsy
Magadan,Magadan
Magnitogorsk,Magnitogorsk
Maikop,Maikop
Makhachkala,Makhachkala
Mezhdurechensk,Mezhdurechensk
Miass,Miass
Moskva,Moscow
Murmansk,Murmansk
Murom,Murom
Mytishchi,Mytishchi
Naberezhnye Tchelny,Naberezhnye Tchelny
Nakhodka,Nakhodka
Naltchik,Naltchik
Nazran,Nazran
Neftekamsk,Neftekamsk
Nefteyugansk,Nefteyugansk
Nevinnomyssk,Nevinnomyssk
Nizhnekamsk,Nizhnekamsk
Nizhnevartovsk,Nizhnevartovsk
Nizhny Novgorod,Nizhny Novgorod
Nizhny Tagil,Nizhny Tagil
Noginsk,Noginsk
Norilsk,Norilsk
Novocheboksarsk,Novocheboksarsk
Novocherkassk,Novocherkassk
Novokuybishevsk,Novokuybishevsk
Novokuznetsk,Novokuznetsk
Novomoskovsk,Novomoskovsk
Novorossiysk,Novorossiysk
Novoshakhtinsk,Novoshakhtinsk
Novosibirsk,Novosibirsk
Novotroitsk,Novotroitsk
Novy Urengoy,Novy Urengoy
Noyabrsk,Noyabrsk
Obninsk,Obninsk
Odintsovo,Odintsovo
Oktyabrsky,Oktyabrsky
Omsk,Omsk
Orekhovo-Zuevo,Orekhovo-Zuevo
Orel,Orel
Orenburg,Orenburg
Orsk,Orsk
Penza,Penza
Perm,Perm
Pervouralsk,Pervouralsk
Petropavlovsk-Kamchatsky,Petropavlovsk-Kamchatsky
Petrozavodsk,Petrozavodsk
Podolsk,Podolsk
Prokopyevsk,Prokopyevsk
Pskov,Pskov
Pushkino,Pushkino
Pyatigorsk,Pyatigorsk
Rostov-Na-Donu,Rostov-Na-Donu
Rubtsovsk,Rubtsovsk
Ryazan,Ryazan
Rybinsk,Rybinsk
Salavat,Salavat
Samara,Samara
Saransk,Saransk
Sarapyul,Sarapyul
Saratov,Saratov
Sergiev Posad,Sergiev Posad
Serov,Serov
Serpukhov,Serpukhov
Severodvinsk,Severodvinsk
Seversk,Seversk
Shakhty,Shakhty
Shchelkovo,Shchelkovo
Smolensk,Smolensk
Sochi,Sochi
St. Petersburg,St. Petersburg
Stary Oskol,Stary Oskol
Stavropol,Stavropol
Sterlitamak,Sterlitamak
Surgut,Surgut
Syktivkar,Syktivkar
Syzran,Syzran
Taganrog,Taganrog
Tambov,Tambov
Tobolsk,Tobolsk
Tolyatti,Tolyatti
Tomsk,Tomsk
Tula,Tula
Tver,Tver
Tyumen,Tyumen
Ufa,Ufa
Uhta,Uhta
Ulan-Ude,Ulan-Ude
Ulyanovsk,Ulyanovsk
Ussuriisk,Ussuriisk
Velikiy Novgorod,Velikiy Novgorod
Vladikavkaz,Vladikavkaz
Vladimir,Vladimir
Vladivostok,Vladivostok
Volgodonsk,Volgodonsk
Volgograd,Volgograd
Vologda,Vologda
Volzhsky,Volzhsky
Voronezh,Voronezh
Yakutsk,Yakutsk
Yaroslavl,Yaroslavl
Yoshkar-Ola,Yoshkar-Ola
Yuzhno-Sakhalinsk,Yuzhno-Sakhalinsk
Zheleznodorozhny,Zheleznodorozhny
Zhukovsky,Zhukovsky
Zlatoust,Zlatoust
San Marino,San Marino
Beograd,Belgrade
Čačak,Čačak
Kragujevac,Kragujevac
Kraljevo,Kraljevo
Kruševac,Kruševac
Leskovac,Leskovac
Niš,Nis
Novi Pazar,Novi Pazar
Novi Sad,Novi Sad
Pancevo,Pancevo
Šabac,Šabac
Smederevo,Smederevo
Subotica,Subotica
Zrenjanin,Zrenjanin
Bratislava,Bratislava
Kosice,Kosice
Ljubljana,Ljubljana
Maribor,Maribor
A Coruña,A Coruña
Albacete,Albacete
Alcalá De Henares,Alcalá De Henares
Alcobendas,Alcobendas
Alcorcón,Alcorcón
Algeciras,Algeciras
Alicante/Alacant,Alicante/Alacant
Almería,Almería
Badajoz,Badajoz
Badalona,Badalona
Barakaldo,Barakaldo
Barcelona,Barcelona
Bilbao,Bilbao
Burgos,Burgos
Cádiz,Cádiz
Cartagena,Cartagena
Castelló De La Plana,Castelló De La Plana
Córdoba,Cordoba
Donostia/San Sebastián,Donostia/San Sebastián
Dos Hermanas,Dos Hermanas
Elche/Elx,Elche/Elx
Fuenlabrada,Fuenlabrada
Getafe,Getafe
Gijón,Gijón
Girona,Girona
Granada,Granada
Huelva,Huelva
Jaén,Jaén
Jerez De La Frontera,Jerez De La Frontera
Las Palmas De Gran Canaria,Las Palmas De Gran Canaria
Leganés,Leganés
León,León
L'Hospitalet De Llobregat,L'Hospitalet De Llobregat
Lleida,Lleida
Logroño,Logroño
Madrid,Madrid
Málaga,Málaga
Marbella,Marbella
Mataró,Mataró
Móstoles,Móstoles
Murcia,Murcia
Ourense,Ourense
Oviedo,Oviedo
Palma,Palma
Pamplona/Iruña,Pamplona/Iruña
Parla,Parla
Reus,Reus
Sabadell,Sabadell
Salamanca,Salamanca
San Cristóbal De La Laguna,San Cristóbal De La Laguna
Santa Coloma De Gramenet,Santa Coloma De Gramenet
Santa Cruz De Tenerife,Santa Cruz De Tenerife
Santander,Santander
Sevilla,Seville
Tarragona,Tarragona
Telde,Telde
Terrassa,Terrassa
Torrejón De Ardoz,Torrejón De Ardoz
València,Valencia
Valladolid,Valladolid
Vigo,Vigo
Vitoria-Gasteiz,Vitoria-Gasteiz
Zaragoza,Zaragoza
Göteborg,Gothenburg
Helsingborg,Helsingborg
Jönköping,Jönköping
Linköping,Linköping
Malmö,Malmo
Norrköping,Norrköping
Orebro,Orebro
Stockholm,Stockholm
Umeå,Umeå
Uppsala,Uppsala
Västerås,Västerås
Baden-Brugg,Baden-Brugg
Bâle,Basel
Berne,Bern
Biel/Bienne,Biel/Bienne
Fribourg,Fribourg
Genève,Geneva
Lausanne,Lausanne
Lugano,Lugano
Luzern,Lucerne
Olten-Zofingen,Olten-Zofingen
St. Gallen,St. Gallen
Winterthur,Winterthur
Zug,Zug
Zürich,Zurich
Alchevsk,Alchevsk
Berdyansk,Berdyansk
Bila Tserkva,Bila Tserkva
Brovary,Brovary
Cherkasy,Cherkasy
Chernihiv,Chernihiv
Chernivtsi,Chernivtsi
Dnipro,Dnipro
Donets'K,Donetsk
Gorlivka,Horlivka
Ivano-Frankivsk,Ivano-Frankivsk
Kamenets Podolsky,Kamenets Podolsky
Kamyanske,Kamyanske
Kharkiv,Kharkiv
Kherson,Kherson
Khmelnitsky,Khmelnitsky
Kramatorsk,Kramatorsk
Krementchug,Kremenchuk
Krivoy Rog,Kryvyi Rih
Kropyvnytskyi,Kropyvnytskyi
Kyiv,Kyiv
Lugansk,Luhansk
Luts'K,Luts'K
Lviv,Lviv
Makijivka,Makijivka
Mariupol,Mariupol
Melitopol,Melitopol
Nikolaev,Mykolaiv
Nikopol,Nikopol
Odessa,Odessa
Pavlograd,Pavlograd
Poltava,Poltava
Rivne,Rivne
Slovyansk,Slovyansk
Sumy,Sumy
Ternopil,Ternopil
Uzhhorod,Uzhhorod
Vinnitsa,Vinnytsia
Zaporozhye,Zaporizhzhia
Zhytomyr,Zhytomyr
Aberdeen,Aberdeen
Belfast,Belfast
Birmingham,Birmingham
Bolton,Bolton
Bournemouth,Bournemouth
Bradford,Bradford
Brighton And Hove,Brighton And Hove
Bristol,Bristol
Cardiff,Cardiff
Coventry,Coventry
Derby,Derby
Edinburgh,Edinburgh
Glasgow,Glasgow
Kingston-Upon-Hull,Kingston-Upon-Hull
Leeds,Leeds
Leicester,Leicester
Liverpool,Liverpool
London,London
Luton,Luton
Manchester,Manchester
Newcastle-Upon-Tyne,Newcastle-Upon-Tyne
Northampton,Northampton
Nottingham,Nottingham
Plymouth,Plymouth
Portsmouth,Portsmouth
Reading,Reading
Sheffield,Sheffield
Southampton,Southampton
Stoke-On-Trent,Stoke-On-Trent
Wolverhampton,Wolverhampton
